Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Product ID
100-contemporary-brick-buildings,100 Contemporary Brick Buildings.,"<p>100 Contemporary Brick Buildings.</p>
<p>Book ID: S00062</p>",Taschen,Book,,TRUE,,,,,,,'S00062,0,shopify,,deny,manual,59.99,0,TRUE,TRUE,'9783836562355,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10246104073
100-years-100-buildings,"100 Years, 100 Buildings.","<p>100 Years, 100 Buildings.</p>
<p>Book ID: 100447</p>",Prestel,Book,,TRUE,,,,,,,'100447,0,shopify,,deny,manual,39.95,,TRUE,TRUE,'9783791382128,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9876286665
100-years-of-architectural-drawing-1900-2000,100 Years of Architectural Drawing: 1900 - 2000.,"<p>100 Years of Architectural Drawing: 1900 - 2000.</p>
<p>Book ID: 95074</p>",Chronicle,Book,,TRUE,,,,,,,'95074,0,shopify,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9866843849
100-years-of-swiss-design,100 Years of Swiss Design,"<p>100 Years of Swiss Design</p>
<p>Book ID: 97499</p>",Springer,Book,,TRUE,,,,,,,'97499,0,shopify,,deny,manual,70,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9874836297
10-10-jim-jennings-architecture-ten-projects-ten-years,"10/10: Jim Jennings: Architecture Ten Projects, Ten Years.","<p>10/10: Jim Jennings: Architecture Ten Projects, Ten Years.</p>
<p>Book ID: 25169</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'25169,0,shopify,,deny,manual,40,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9937480841
101-things-i-learned-in-architecture-school,101 Things I Learned in Architecture School.,"<p>101 Things I Learned in Architecture School.</p>
<p>Book ID: 74906</p>",MIT Press/Triliteral,Book,,TRUE,,,,,,,'74906,0,shopify,,deny,manual,17.95,,TRUE,TRUE,'262062666,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9806649865
111-posters-by-gabor-palotai,111 Posters by Gabor Palotai.,"<p>111 Posters by Gabor Palotai.</p>
<p>Book ID: 71860</p>",die gestalten verlag,Book,,TRUE,,,,,,,'71860,0,shopify,,deny,manual,60,0,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9804758153
1946-1947-1948-the-missing-years-of-the-most-beautiful-swiss-books,"1946, 1947, 1948: The Missing Years of The Most Beautiful Swiss Books.","<p>1946, 1947, 1948: The Missing Years of The Most Beautiful Swiss Books.</p>
<p>Book ID: 95548</p>",RAM,Book,,TRUE,,,,,,,'95548,0,shopify,,deny,manual,49.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9866974409
1-friedrichstrasse-building,1 Friedrichstrasse Building,"<p>1 Friedrichstrasse Building</p>
<p>Book ID: P00028</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00028,0,shopify,,deny,manual,75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099822217
200-years-of-american-architectural-drawing-73259,200 Years of American Architectural Drawing.,"<p>200 Years of American Architectural Drawing.</p>
<p>Book ID: 73259</p>",Whitney Library of Design.,Book,,TRUE,,,,,,,'73259,0,shopify,,deny,manual,40,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9805298761
