VendorName,VenCode,PartNumber,LongDescription,JobberPrice,Cost,UPSable,ExeterQty,TotalQty,CoreCharge,CaseQty,IsNonReturnable,ManufacturerPartNo,HazardousMaterial,Brand
COVERKING,C37,1D5NS7352,SEAT COVER,189.99,170.99,TRUE,1,1,0,1,FALSE,CSC1D5NS7352,,(BDRK)
COVERKING,C37,1E1DG7337,60/40 SPLITBK RE/HEAD,149.99,134.99,TRUE,1,1,0,1,FALSE,CSC1E1DG7337,,(BDRK)
COVERKING,C37,1E1DG7362,SEAT COVERS,149.99,134.99,TRUE,1,1,0,1,FALSE,CSC1E1DG7362,,(BDRK)
COVERKING,C37,1E1DG9544,1 ROW CORDURA/BALLISTIC B,169.99,152.99,TRUE,0,1,0,1,FALSE,CSC1E1DG9544,,(BDRK)
COVERKING,C37,1E1TT9711,CSC1E1TT9711,169.99,139.94,TRUE,0,1,0,1,FALSE,CSC1E1TT9711,,(BDRK)
COVERKING,C37,1L1DG9492,SEAT COVER,499.99,449.99,TRUE,0,1,0,1,FALSE,CSC1L1DG9492,,(BDRK)
COVERKING,C37,1L3RM1018,LEATHER SEAT CVR 15 RAM 3,499.99,75,TRUE,0,1,0,1,TRUE,CSC1L3RM1018,,(BDRK)
COVERKING,C37,1L3RM1083,LEATHER SEAT CVR 15 RAM 3,499.99,75,TRUE,0,1,0,1,TRUE,CSC1L3RM1083,,(BDRK)
COVERKING,C37,1P1CH9900,1 ROW POLY COTTON DRILL B,159.99,143.99,TRUE,1,1,0,1,FALSE,CSC1P1CH9900,,(BDRK)
COVERKING,C37,1P1CH9927,1 ROW POLY COTTON DRILL B,159.99,143.99,TRUE,1,1,0,1,FALSE,CSC1P1CH9927,,(BDRK)
COVERKING,C37,1P5FD7186,CUSTOM COVER,149.99,94.79,TRUE,1,1,0,1,FALSE,CSC1P5FD7186,,(BDRK)
COVERKING,C37,1PLMR7110,1 ROW POLY COTTON DRILL L,159.99,143.99,TRUE,1,1,0,1,FALSE,CSC1PLMR7110,,(BDRK)
COVERKING,C37,2A1DG7339,1 ROW NEOSUPREME SOLID BL,169.99,132.7,TRUE,2,2,0,1,FALSE,CSC2A1DG7339,,(BDRK)
COVERKING,C37,2A1DG7792,1 ROW NEOSUPREME SOLID BL,169.99,152.99,TRUE,1,1,0,1,FALSE,CSC2A1DG7792,,(BDRK)
COVERKING,C37,2A3CH7251,1 ROW NEOSPRME GRAY/BLACK,169.99,152.99,TRUE,1,1,0,1,FALSE,CSC2A3CH7251,,(BDRK)
COVERKING,C37,2A7FD9812,1 ROW NEOSPRME RED/BLACK,169.99,140.52,TRUE,0,2,0,1,FALSE,CSC2A7FD9812,,(BDRK)
COVERKING,C37,2A9FD8469,SEAT COVER,169.99,152.99,TRUE,1,1,0,1,FALSE,CSC2A9FD8469,,(BDRK)
COVERKING,C37,3O2GFD9773,CVC MOSOM PLUS GRAY CLASS,199.99,89.99,TRUE,1,1,0,1,TRUE,CVC3O2GFD9773,,(BDRK)
COVERKING,C37,CDCV4,CUSTOM TAILORED DASHBOARD,34.99,31.49,TRUE,0,1,0,1,FALSE,CDCV4,,(BDRK)
